(10001;$;1971;3;NULL;NULL
10002;\"Crocodile\" Dundee;1986;19;NULL;328203506
10003;\"Crocodile\" Dundee II;1988;36;15800000;239606210
10004;Til There Was You;1997;49;10000000;NULL
10005;Til We Meet Again;1940;65;NULL;NULL
10006;Ã…dalen 31;1969;77;NULL;NULL
10007;Ã†on Flux;2005;82;62000000;52304001
10008;(500) Days of Summer;2009;95;7500000;60722734
10009;(Untitled);2009;107;NULL;NULL
10010;*batteries not included ;1987;115;25000000;65088797
10011;10000 BC;2008;121;105000000;NULL
10012;101 Dalmatians;1996;139;NULL;320689294
10013;101 Dalmatians II: Patchs London Adventure;2003;148;NULL;NULL
10014;101 ReykjavÃ­k;2000;163;NULL;126404
10015;102 Dalmatians;2000;169;85000000;183611771
10016;10;1979;177;74856000;NULL
10017;10 Rillington Place;1971;184;NULL;NULL
10018;10 Things I Hate About You;1999;204;16000000;53478166
10019;10 to Midnight;1983;219;NULL;NULL
10020;11:14;2003;228;6000000;NULL
10021;127 Hours;2011;242;18000000;60738797
10022;12;2007;250;2500000;4000000
10023;12 Angry Men;1957;261;350000;NULL
10024;12 Monkeys;1995;273;29500000;168839459
10025;12 Rounds;2009;289;20000000;18184083
10026;12th & Delaware;2010;296;NULL;NULL
10027;13 Ghosts;1960;297;NULL;NULL
10028;13 Going on 30;2004;305;37000000;96455697
10029;13 Moons;2002;323;NULL;NULL
10030;13 Rue Madeleine;1947;330;NULL;NULL
10031;1408;2007;339;25000000;131998242
10032;1492: Conquest of Paradise;1992;351;NULL;NULL
10033;15 Maiden Lane;1936;355;NULL;NULL
10034;15 Minutes;2001;363;NULL;56359980
10035;16 Blocks;2006;383;NULL;65664721
10036;1732 HÃ¸tten;1998;397;NULL;NULL
10037;1776;1972;401;NULL;NULL
10038;17 Again;2009;426;20000000;136267476
10039;17th Parallel: Vietnam in War;1968;447;NULL;NULL
10040;1900;1976;464;9000000;6064026
10041;1969;1988;501;NULL;NULL
10042;THE AMaZING 1984;1956;505;NULL;NULL
10043;1991: The Year Punk Broke;1992;519;NULL;NULL
10044;20000 Leagues Under the Sea;1916;544;NULL;NULL
10045;20000 Leagues Under the Sea;1954;184;4300000;11267000
10046;20000 Years in Sing Sing;1932;559;NULL;NULL
10047;2001: A Space Odyssey;1968;565;10500000;56715371
10048;200 Motels;1971;580;679000;NULL
10049;2010;1984;584;28000000;NULL
10050;2012;2009;121;200000000;769679473
10051;20 Dates;1998;619;NULL;NULL
10052;20 Million Miles to Earth;1957;626;NULL;NULL
10053;21;2008;631;35000000;157927340
10054;21 Grams;2003;646;20000000;60427839
10055;23 Paces to Baker Street;1956;330;NULL;NULL
10056;24 Hour Party People;2002;671;NULL;2781211
10057;25th Hour;2002;692;5000000;23928503
10058;27 Dresses;2008;700;30000000;160259319
10059;28 Days;2000;706;43000000;NULL
10060;28 Days Later;2003;242;5000000;82719885
10061;28 Weeks Later;2007;731;NULL;64238440
10062;29th Street;1991;739;NULL;NULL
10063;2 Days in the Valley;1996;363;NULL;NULL
10064;2 Fast 2 Furious;2003;754;76000000;236350661
10065;300;2007;769;65000000;456068181
10066;30 Days of Night;2007;784;30000000;NULL
10067;30 Minutes or Less;2011;802;28000000;39440774
10068;35 Shots Of Rum;2009;812;3600000;NULL
10069;36 Ghante;1975;815;NULL;NULL
10070;3:10 to Yuma;1957;831;NULL;NULL
10071;3:10 to Yuma;2007;841;55000000;NULL
10072;3 Bad Men;1926;856;NULL;NULL
10073;3 Godfathers;1948;856;NULL;NULL
10074;3 Idiots;2009;880;35;366
10075;3 Ninjas: High Noon at Mega Mountain;1998;894;NULL;NULL
10076;3 Ninjas;1994;115;NULL;NULL
10077;3 Ninjas Kick Back;1994;915;NULL;NULL
10078;3 Ninjas Knuckle Up;1995;920;NULL;NULL
10079;3 Nuts in Search of a Bolt;1964;922;NULL;NULL
10080;3 Ring Circus;1954;928;NULL;NULL
10081;3 Strikes;2000;937;3400000;9832166
10082;3 Women;1977;954;NULL;NULL
10083;4.3.2.1;2010;968;NULL;NULL
10084;40 Days and 40 Nights;2002;987;17000000;95146283
10085;42nd street;1933;1004;NULL;NULL
10086;44 Inch Chest;2010;1016;NULL;247553
10087;44 Minutes: The North Hollywood Shoot-Out;2003;1023;NULL;NULL
10088;45365;2010;1036;NULL;NULL
10089;48 Hrs.;1982;1037;NULL;78868508
10090;49th Parallel (The Invaders);1941;1052;NULL;NULL
10091;4 Little Girls;1997;692;NULL;NULL
10092;4D Man;1959;1066;NULL;NULL
10093;50 First Dates;2004;1069;75000000;196482882
10094;52 Pick-Up;1986;1080;NULL;5186646
10095;54;1998;1087;13000000;16757163
10096;55 Days at Peking;1963;1119;17000000;NULL
10097;5 Against the House;1955;1150;NULL;NULL
10098;5 Card Stud;1968;330;NULL;NULL
10099;5 Fingers;1952;1169;NULL;NULL
10100;5 Steps to Danger;1957;1178;NULL;NULL
10101;633 Squadron;1964;1180;NULL;NULL
10102;6 Angels <small>(ã‚·ãƒƒã‚¯ã‚¹ãƒ»ã‚¨ãƒ³ã‚¸ã‚§ãƒ«ã‚º;2002;1183;NULL;NULL
10103;7 Faces of Dr. Lao;1964;1202;NULL;NULL
10104;7 Man Army;1976;1222;NULL;NULL
10105;7 Women;1966;856;NULL;NULL
10106;8Â½;1963;1237;NULL;NULL
10107;84 Charing Cross Road;1987;1248;NULL;NULL
10108;88 Minutes;2008;1250;30000000;32573503
10109;8: The Mormon Proposition;2010;1267;2500000;100280
10110;8 Heads in a Duffel Bag;1997;1268;NULL;3602884
10111;8 Mile;2002;1276;41000000;242875078
10112;8 Million Ways to Die;1986;1295;NULL;NULL
10113;8 Seconds;1994;1301;7000000;19623396
10114;8 Women;2002;1311;NULL;NULL
10115;8mm;1999;1320;40000000;96618699
10116;9Â½ Weeks;1986;1330;17000000;6734844
10117;92 in the Shade;1975;1337;NULL;NULL
10118;9;2009;1342;30000000;48428063
10119;9 to 5;1980;1349;NULL;NULL
10120;A-Haunting We Will Go;1942;1361;NULL;NULL
10121;A.I. Artificial Intelligence;2001;1375;100000000;235926552
10122;A;1998;1387;NULL;NULL
10123;A Battle of Wits;1912;1390;NULL;NULL
10124;A Beautiful Mind;2009;1396;60000000;313542341
10125;A Bedtime Story;1933;1404;NULL;NULL
10126;A Bell for Adano;1945;1416;NULL;NULL
10127;A Better Life;2011;1419;10000000;1759252
10128;A Better Tomorrow;2011;1425;NULL;NULL
10129;A Big Hand for the Little Lady;1966;1434;NULL;NULL
10130;A Bill of Divorcement;1932;1443;NULL;NULL
10131;A Blind Bargain;1922;1451;NULL;NULL
10132;A Boy and His Dog;1975;1458;NULL;NULL
10133;A Boy Named Sue;2001;1463;NULL;NULL
10134;Una breve vacanza;1975;1464;NULL;NULL
10135;A Brighter Summer Day;1991;1468;NULL;NULL
10136;A Bronx Tale;1993;364;NULL;NULL
10137;A Bucket of Blood;2007;1477;50000;NULL
10138;A Bugs Life;1998;1481;60000000;363398565
10139;A Bullet for the General;1966;1499;NULL;NULL
10140;A Business Buccaneer;1912;2;NULL;NULL
10141;A Canterbury Tale;1949;1052;NULL;NULL
10142;A Change of Seasons;1980;1526;NULL;NULL
10143;A Child Is Waiting;1963;1531;NULL;NULL
10144;A Chinese Ghost Story;1987;1538;5600000;18831638
10145;A Chorus Line;1985;185;25000000;14202899
10146;A Chorus of Disapproval;1988;1555;NULL;NULL
10147;A Christmas Carol;1910;1572;NULL;NULL
10148;A Christmas Carol;1938;1579;NULL;NULL
10149;<!-- Do NOT add \"Disneys\" - Please see discussion;2009;1597;175;325286646
10150;A Christmas Story;1983;1613;4000000;19294144
10151;A Chump at Oxford;1940;1624;NULL;NULL
10152;A Cinderella Story;2004;1664;19000000;70067909
10153;A City of Sadness;1989;1688;NULL;NULL
10154;A Civil Action;1998;1693;75000000;56709981
10155;A Class to Remember;1993;1706;NULL;NULL
10156;A Clockwork Orange;1971;565;2200000;26589355
10157;A Colt Is My Passport;1967;1745;NULL;NULL
